,title,price,link
12,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,499",/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT&lid=LSTMOBGENJWBPFYJSFT1ZY7B0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGENJWBPFYJSFT.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
13,"realme C33 (Aqua Blue, 32 GB)","₹8,999",/realme-c33-aqua-blue-32-gb/p/itma112335dbe78a?pid=MOBGHBJGFKM7MNQH&lid=LSTMOBGHBJGFKM7MNQHMLW6ZM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGHBJGFKM7MNQH.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
14,"realme C33 (Night Sea, 32 GB)","₹8,999",/realme-c33-night-sea-32-gb/p/itma112335dbe78a?pid=MOBGHBJGGVPHHTYQ&lid=LSTMOBGHBJGGVPHHTYQPKXLM2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGHBJGGVPHHTYQ.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
15,"realme C33 (Sandy Gold, 32 GB)","₹8,999",/realme-c33-sandy-gold-32-gb/p/itma112335dbe78a?pid=MOBGHBJGF9QZYSZX&lid=LSTMOBGHBJGF9QZYSZXROLVZH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGHBJGF9QZYSZX.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
16,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,299",/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
17,"OPPO K10 (Black Carbon, 128 GB)","₹13,490",/oppo-k10-black-carbon-128-gb/p/itm6205e7e72fe0c?pid=MOBGCFUHMDFSCM9W&lid=LSTMOBGCFUHMDFSCM9WSL0U8O&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGCFUHMDFSCM9W.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
18,"OPPO K10 (Blue Flame, 128 GB)","₹13,490",/oppo-k10-blue-flame-128-gb/p/itm6205e7e72fe0c?pid=MOBGCFUHQAG5GDQS&lid=LSTMOBGCFUHQAG5GDQSSCVTKH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGCFUHQAG5GDQS.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
19,"REDMI 10 (Pacific Blue, 128 GB)","₹11,999",/redmi-10-pacific-blue-128-gb/p/itmeee56f3526c69?pid=MOBGC9GYMXA2XAH4&lid=LSTMOBGC9GYMXA2XAH4HWYYYO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGC9GYMXA2XAH4.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
20,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹10,999",/samsung-galaxy-f22-denim-blue-64-gb/p/itmce0a6baf0d54d?pid=MOBG43UGBTGGB99V&lid=LSTMOBG43UGBTGGB99VLZACSD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBG43UGBTGGB99V.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
21,"OPPO K10 5G (Ocean Blue, 128 GB)","₹17,499",/oppo-k10-5g-ocean-blue-128-gb/p/itm28cf887931942?pid=MOBGEWUYZ2Z9FSQG&lid=LSTMOBGEWUYZ2Z9FSQGC2YHFU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGEWUYZ2Z9FSQG.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
22,"OPPO K10 5G (Midnight Black, 128 GB)","₹17,499",/oppo-k10-5g-midnight-black-128-gb/p/itm28cf887931942?pid=MOBGETEKHMT7HMR7&lid=LSTMOBGETEKHMT7HMR7WHUWBT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=ffef2d8e-157a-485f-9219-dd115383c549.MOBGETEKHMT7HMR7.SEARCH&ppt=None&ppn=None&ssid=lan39c11740000001669553606971&qH=eb4af0bf07c16429
